connect_time,disconnect_time,energy,station_id,charging_duration,total_duration,z_score,energy_per_quarter
2018-10-09 15:00:00,2018-10-09 19:30:00,5.366,1-1-191-807,120,270,0.845591544496202,0.67075
2018-10-09 15:00:00,2018-10-10 00:30:00,13.643,1-1-191-806,270,570,0.173243004900623,0.757944444444445
2018-10-09 15:00:00,2018-10-10 00:30:00,3.149,1-1-191-803,90,570,1.04935845437557,0.524833333333333
2018-10-09 15:15:00,2018-10-10 00:30:00,4.851,1-1-191-786,135,555,0.74370808955652,0.539
2018-10-09 15:15:00,2018-10-10 01:00:00,7.223,1-1-191-792,165,585,0.539941179677155,0.656636363636364
2018-10-09 15:15:00,2018-10-09 20:00:00,20.353,1-1-191-811,270,285,0.173243004900623,1.13072222222222
2018-10-09 15:15:00,2018-10-10 00:45:00,17.402,1-1-191-793,405,570,1.09019409935777,0.644518518518519
2018-10-09 15:15:00,2018-10-10 00:45:00,8.991,1-1-191-812,165,570,0.539941179677155,0.817363636363636
2018-10-09 17:45:00,2018-10-09 23:15:00,17.399,1-1-193-829,330,330,0.580776824659353,0.790863636363636
2018-10-09 18:45:00,2018-10-10 00:00:00,6.306,1-1-194-822,180,315,0.438057724737472,0.5255
2018-10-09 19:00:00,2018-10-09 23:30:00,11.374,1-1-193-827,165,270,0.539941179677155,1.034
2018-10-09 19:30:00,2018-10-10 02:15:00,39.589,1-1-191-807,375,405,0.886427189478401,1.58356
2018-10-09 19:45:00,2018-10-09 23:00:00,14.462,1-1-179-783,135,195,0.74370808955652,1.60688888888889
2018-10-09 19:45:00,2018-10-10 01:30:00,2.602,1-1-191-808,75,345,1.15124190931525,0.5204
2018-10-09 20:00:00,2018-10-10 01:00:00,9.342,1-1-191-811,105,300,0.947474999435885,1.33457142857143
2018-10-09 20:45:00,2018-10-09 23:30:00,12.532,1-1-194-821,150,165,0.641824634616837,1.2532
2018-10-09 21:45:00,2018-10-10 03:15:00,6.192,1-1-178-817,135,330,0.74370808955652,0.688
2018-10-09 22:00:00,2018-10-09 23:15:00,3.692,1-1-193-820,75,75,1.15124190931525,0.7384
2018-10-09 22:30:00,2018-10-09 23:45:00,7.52,1-1-179-798,75,75,1.15124190931525,1.504
2018-10-09 22:30:00,2018-10-10 02:45:00,12.034,1-1-193-825,240,255,0.0305239049787419,0.752125
2018-10-09 22:45:00,2018-10-10 01:00:00,14.298,1-1-178-824,135,135,0.74370808955652,1.58866666666667
2018-10-09 23:15:00,2018-10-10 03:15:00,2.338,1-1-193-829,45,240,1.35500881919461,0.779333333333333
2018-10-09 23:15:00,2018-10-10 01:00:00,8.213,1-1-193-819,105,105,0.947474999435885,1.17328571428571
2018-10-09 23:15:00,2018-10-10 02:15:00,5.702,1-1-178-823,105,180,0.947474999435885,0.814571428571429
2018-10-09 23:45:00,2018-10-10 03:30:00,12.506,1-1-178-828,225,225,0.132407359918424,0.833733333333333
2018-10-10 00:00:00,2018-10-10 00:45:00,1.798,1-1-193-820,45,45,1.35500881919461,0.599333333333333
2018-10-10 03:30:00,2018-10-10 07:30:00,0.999,1-1-178-823,30,240,1.4568922741343,0.4995
2018-10-10 12:30:00,2018-10-10 21:00:00,12.205,1-1-194-821,255,510,0.0713595499609406,0.717941176470588
2018-10-10 12:45:00,2018-10-10 23:30:00,6.028,1-1-191-789,120,645,0.845591544496202,0.7535
2018-10-10 12:45:00,2018-10-11 02:00:00,12,1-1-193-827,285,795,0.275126459840306,0.631578947368421
2018-10-10 12:45:00,2018-10-10 23:30:00,5.887,1-1-193-820,150,645,0.641824634616837,0.5887
2018-10-10 12:45:00,2018-10-10 20:45:00,10.757,1-1-178-823,300,480,0.377009914779988,0.53785
2018-10-10 13:00:00,2018-10-10 23:00:00,9.504,1-1-178-828,255,600,0.0713595499609406,0.559058823529412
2018-10-10 13:15:00,2018-10-10 22:15:00,14.692,1-1-179-779,210,540,0.234290814858107,1.04942857142857
2018-10-10 13:15:00,2018-10-10 22:30:00,13.293,1-1-193-819,315,555,0.478893369719671,0.633
2018-10-10 13:15:00,2018-10-10 22:30:00,11.985,1-1-193-825,285,555,0.275126459840306,0.630789473684211
2018-10-10 13:15:00,2018-10-10 18:00:00,5.331,1-1-193-829,120,285,0.845591544496202,0.666375
2018-10-10 13:30:00,2018-10-10 22:45:00,17.41,1-1-178-817,405,555,1.09019409935777,0.644814814814815
2018-10-10 13:30:00,2018-10-10 23:00:00,15.327,1-1-194-826,375,570,0.886427189478401,0.61308
2018-10-10 13:30:00,2018-10-10 22:45:00,8.131,1-1-179-787,180,555,0.438057724737472,0.677583333333333
2018-10-10 13:45:00,2018-10-11 00:15:00,6.708,1-1-194-822,210,630,0.234290814858107,0.479142857142857
2018-10-10 13:45:00,2018-10-11 00:15:00,13.413,1-1-178-824,240,630,0.0305239049787419,0.8383125
2018-10-10 14:00:00,2018-10-11 00:15:00,12.223,1-1-194-818,285,615,0.275126459840306,0.643315789473684
2018-10-10 14:00:00,2018-10-10 22:30:00,9.235,1-1-179-815,165,510,0.539941179677155,0.839545454545454
2018-10-10 14:00:00,2018-10-10 14:30:00,2.494,1-1-179-783,30,30,1.4568922741343,1.247
2018-10-10 14:00:00,2018-10-10 21:45:00,30.823,1-1-179-781,480,465,1.59961137405618,0.96321875
2018-10-10 14:15:00,2018-10-10 23:30:00,50.901,1-1-193-816,555,555,2.10902864875459,1.3757027027027
2018-10-10 14:15:00,2018-10-10 23:15:00,12.576,1-1-191-780,225,540,0.132407359918424,0.8384
2018-10-10 14:15:00,2018-10-10 22:15:00,10.641,1-1-179-810,210,480,0.234290814858107,0.760071428571429
2018-10-10 14:15:00,2018-10-11 02:15:00,6.944,1-1-179-800,120,720,0.845591544496202,0.868
2018-10-10 14:15:00,2018-10-11 00:45:00,4.931,1-1-191-795,120,630,0.845591544496202,0.616375
2018-10-10 14:30:00,2018-10-10 20:15:00,2.788,1-1-191-785,75,345,1.15124190931525,0.5576
2018-10-10 14:30:00,2018-10-10 23:30:00,17.434,1-1-179-799,315,540,0.478893369719671,0.830190476190476
2018-10-10 14:30:00,2018-10-10 23:30:00,23.95,1-1-179-797,345,540,0.682660279599036,1.04130434782609
2018-10-10 14:30:00,2018-10-11 00:15:00,6.078,1-1-179-783,105,585,0.947474999435885,0.868285714285714
2018-10-10 14:30:00,2018-10-10 23:00:00,5.714,1-1-179-777,120,510,0.845591544496202,0.71425
2018-10-10 14:30:00,2018-10-10 23:45:00,12.26,1-1-179-809,240,555,0.0305239049787419,0.76625
2018-10-10 14:45:00,2018-10-11 00:15:00,8.547,1-1-179-796,180,570,0.438057724737472,0.71225
2018-10-10 14:45:00,2018-10-11 00:00:00,17.442,1-1-179-801,555,555,2.10902864875459,0.471405405405405
2018-10-10 14:45:00,2018-10-11 01:00:00,3.139,1-1-179-794,75,615,1.15124190931525,0.6278
2018-10-10 14:45:00,2018-10-11 00:30:00,18.156,1-1-179-788,240,585,0.0305239049787419,1.13475
2018-10-10 14:45:00,2018-10-11 00:30:00,6.964,1-1-179-798,105,585,0.947474999435885,0.994857142857143
2018-10-10 14:45:00,2018-10-10 21:30:00,15.218,1-1-179-790,390,405,0.988310644418083,0.585307692307692
2018-10-10 14:45:00,2018-10-10 23:45:00,6.833,1-1-191-812,105,540,0.947474999435885,0.976142857142857
2018-10-10 15:00:00,2018-10-11 00:00:00,16.457,1-1-191-782,510,540,1.80337828393554,0.484029411764706
2018-10-10 15:00:00,2018-10-11 02:00:00,12.597,1-1-191-807,240,660,0.0305239049787419,0.7873125
2018-10-10 15:00:00,2018-10-10 23:00:00,7.448,1-1-191-811,165,480,0.539941179677155,0.677090909090909
2018-10-10 15:00:00,2018-10-11 00:45:00,8.846,1-1-191-784,150,585,0.641824634616837,0.8846
2018-10-10 15:00:00,2018-10-11 02:45:00,5.629,1-1-179-813,105,705,0.947474999435885,0.804142857142857
2018-10-10 15:00:00,2018-10-11 00:15:00,13.689,1-1-191-793,285,555,0.275126459840306,0.720473684210526
2018-10-10 15:00:00,2018-10-10 18:00:00,3.058,1-1-191-803,75,180,1.15124190931525,0.6116
2018-10-10 15:00:00,2018-10-11 01:30:00,24.724,1-1-191-802,270,630,0.173243004900623,1.37355555555556
2018-10-10 15:15:00,2018-10-10 18:45:00,10.579,1-1-191-778,210,210,0.234290814858107,0.755642857142857
2018-10-10 15:15:00,2018-10-10 23:30:00,34.009,1-1-191-806,495,495,1.70149482899586,1.03057575757576
2018-10-10 15:15:00,2018-10-10 23:15:00,8.457,1-1-191-792,165,480,0.539941179677155,0.768818181818182
2018-10-10 15:30:00,2018-10-11 00:15:00,11.695,1-1-191-804,285,525,0.275126459840306,0.615526315789474
2018-10-10 15:30:00,2018-10-10 17:30:00,2.688,1-1-191-786,75,120,1.15124190931525,0.5376
