station_id,connect_time,disconnect_time,total_duration,charging_duration,energy,energy_per_quarter,z_score
BOULDER / FACILITIES ST1,2021-12-12 18:00:00,2021-12-13 12:00:00,1080,375,37.375,1.495,2.90346500118726
COMM VITALITY / 1500PEARL2,2021-12-13 07:30:00,2021-12-13 11:15:00,240,240,23.696,1.481,1.38317056869597
BOULDER / N BOULDER REC 1,2021-12-13 08:00:00,2021-12-13 10:15:00,135,120,6.238,0.77975,0.0317977398148119
BOULDER / REC CENTER ST1,2021-12-13 08:45:00,2021-12-13 09:00:00,15,15,1.491,1.491,1.1506534854562
COMM VITALITY / 1500PEARL1,2021-12-13 09:15:00,2021-12-13 13:30:00,255,255,25.201,1.48241176470588,1.55209217230611
COMM VITALITY / 1000WALNUT1,2021-12-13 10:00:00,2021-12-13 14:15:00,255,105,10.616,1.51657142857143,0.137123863795332
COMM VITALITY / 1400 WALNUT1,2021-12-13 10:30:00,2021-12-13 12:45:00,135,135,14.074,1.56377777777778,0.200719343424956
BOULDER / N BOULDER REC 1,2021-12-13 10:30:00,2021-12-13 12:00:00,75,75,8.191,1.6382,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-13 11:45:00,2021-12-13 14:00:00,120,60,7.209,1.80225,0.643888674625765
BOULDER / REC CENTER ST2,2021-12-13 12:15:00,2021-12-13 14:30:00,150,150,14.076,1.4076,0.369640947035101
COMM VITALITY / 1400 WALNUT1,2021-12-13 13:45:00,2021-12-13 17:45:00,225,225,23.468,1.56453333333333,1.21424896508582
BOULDER / N BOULDER REC 1,2021-12-05 13:30:00,2021-12-05 15:45:00,135,135,12.651,1.40566666666667,0.200719343424956
COMM VITALITY / 1104 SPRUCE1,2021-12-09 20:45:00,2021-12-09 22:45:00,120,120,6.952,0.869,0.0317977398148119
BOULDER / BASELINE ST1,2021-12-14 20:15:00,2021-12-14 22:00:00,105,105,11.332,1.61885714285714,0.137123863795332
COMM VITALITY / 1500PEARL1,2021-12-11 11:30:00,2021-12-11 14:00:00,165,165,10.819,0.983545454545455,0.538562550645245
BOULDER / BASELINE ST1,2021-12-05 14:15:00,2021-12-05 16:15:00,120,120,13.996,1.7495,0.0317977398148119
BOULDER / N BOULDER REC 1,2021-12-07 09:15:00,2021-12-07 13:15:00,240,240,14.094,0.880875,1.38317056869597
COMM VITALITY / 1104 SPRUCE1,2021-12-15 07:45:00,2021-12-15 10:45:00,180,165,15.172,1.37927272727273,0.538562550645245
COMM VITALITY / 1000WALNUT1,2021-12-11 12:15:00,2021-12-11 12:30:00,15,15,1.761,1.761,1.1506534854562
COMM VITALITY / BOULDER JCTN,2021-12-07 09:15:00,2021-12-07 13:00:00,225,120,12.962,1.62025,0.0317977398148119
COMM VITALITY / 1000WALNUT1,2021-12-07 10:15:00,2021-12-07 14:00:00,225,225,22.423,1.49486666666667,1.21424896508582
COMM VITALITY / 1500PEARL1,2021-12-11 12:15:00,2021-12-11 14:45:00,135,135,8.969,0.996555555555555,0.200719343424956
COMM VITALITY / 1500PEARL1,2021-12-05 15:45:00,2021-12-05 16:45:00,75,75,6.941,1.3882,0.474967071015621
COMM VITALITY / 1000WALNUT1,2021-12-11 12:30:00,2021-12-11 13:15:00,45,45,4.541,1.51366666666667,0.81281027823591
COMM VITALITY / 1000WALNUT1,2021-12-05 15:45:00,2021-12-05 16:15:00,30,30,2.972,1.486,0.981731881846054
BOULDER / ATRIUM ST1,2021-12-15 08:30:00,2021-12-15 11:15:00,165,165,9.45,0.859090909090909,0.538562550645245
BOULDER / REC CENTER ST2,2021-12-11 13:00:00,2021-12-11 14:00:00,75,75,2.508,0.5016,0.474967071015621
BOULDER / BOULDER PARK S2,2021-12-05 22:15:00,2021-12-06 00:45:00,150,150,12.359,1.2359,0.369640947035101
COMM VITALITY / 1104 SPRUCE1,2021-12-07 11:15:00,2021-12-07 12:30:00,75,75,7.519,1.5038,0.474967071015621
BOULDER / N BOULDER REC 1,2021-12-15 08:45:00,2021-12-15 14:15:00,330,270,29.006,1.61144444444444,1.72101377591626
BOULDER / BOULDER PARK S1,2021-12-06 02:00:00,2021-12-06 03:00:00,60,45,3.072,1.024,0.81281027823591
COMM VITALITY / 1500PEARL1,2021-12-07 11:30:00,2021-12-07 11:45:00,30,30,1.256,0.628,0.981731881846054
COMM VITALITY / 1104 SPRUCE1,2021-12-15 09:45:00,2021-12-15 13:45:00,240,135,13.089,1.45433333333333,0.200719343424956
COMM VITALITY / 1100WALNUT1,2021-12-11 13:00:00,2021-12-11 15:45:00,165,150,3.103,0.3103,0.369640947035101
COMM VITALITY / 1000WALNUT1,2021-12-06 09:45:00,2021-12-06 14:00:00,255,195,19.353,1.48869230769231,0.876405757865533
BOULDER / N BOULDER REC 1,2021-12-06 10:45:00,2021-12-06 12:00:00,75,75,4.748,0.9496,0.474967071015621
